,AcresBurned,ArchiveYear,Counties,CountyIds,CrewsInvolved,Fatalities,Latitude,Longitude,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,UniqueId,Year,Month,Year-Month
112,64.0,2013,Ventura,56,,,34.384,-119.13248999999999,Wheeler Fire,,2013-11-14 11:05:00+00:00,,,0adb968c-eb85-41c5-8e08-04c0ec386c79,2013,11,2013-11
113,60.0,2013,Riverside,33,,,38.838,-116.61,Tram Fire,,2013-08-06 13:39:00+00:00,,,ac568737-dae6-4050-b1f4-62ab1f9ec930,2013,08,2013-08
114,60.0,2013,Riverside,33,,,33.910270000000004,-116.99895,Relay Fire,,2013-08-04 16:29:00+00:00,,,0658b1f8-5323-4152-b6d1-b208736587db,2013,08,2013-08
115,52.0,2013,Nevada,29,,,39.333401,-121.107022,Tyler Fire,,2013-08-31 14:42:00+00:00,,,1476673c-df55-4c39-b117-d9d067f8a020,2013,08,2013-08
116,51.0,2013,San Luis Obispo,40,5.0,,35.457978000000004,-120.75155500000001,Toro Fire,219.0,2013-11-08 10:30:00+00:00,,,587c03e3-4831-47c1-8c03-c08176e91b11,2013,11,2013-11
117,50.0,2013,Lake,17,,,39.0448,-122.7656,Bruner Fire,,2013-11-23 12:04:00+00:00,,,3f3e234c-04e1-4941-a79f-23ddc419bf59,2013,11,2013-11
118,50.0,2013,Siskiyou,47,,,41.923322999999996,-122.57839299999999,Cottonwood Fire,,2013-08-15 14:40:00+00:00,,,e16c204e-58d6-4f78-bc97-729b16ef9f83,2013,08,2013-08
119,50.0,2013,Santa Clara,43,,,37.1438,-121.7804,Uvas Fire,,2013-07-12 13:09:00+00:00,,,e779a754-29fd-472f-8d29-46cfee32d3c2,2013,07,2013-07
120,50.0,2013,Alameda,1,,,37.7393,-121.5869,Grant Fire,,2013-07-04 10:00:00+00:00,,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,2013,07,2013-07
121,50.0,2013,San Luis Obispo,40,,,35.5123,-120.6368,Homestead Fire,,2013-05-25 17:35:00+00:00,,,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,2013,05,2013-05
122,46.0,2013,Calaveras,5,18.0,,38.06231,-120.45233,Bridges Fire,169.0,2013-08-17 10:11:00+00:00,,,10445e2c-979d-49a2-82c2-c3789bd2449a,2013,08,2013-08
123,46.0,2013,Fresno,10,,,37.03087,-119.463757,Sierra Fire,,2013-06-17 14:41:00+00:00,,,15e7e15d-f707-473e-b0f3-6534cfd845b7,2013,06,2013-06
124,45.0,2013,Mendocino,23,,,38.980846,-123.06767099999999,Pratt Fire,,2013-07-23 13:29:00+00:00,,,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1,2013,07,2013-07
125,44.0,2013,Ventura,56,,,0.0,0.0,Happy Camp Fire,,2013-12-10 02:26:00+00:00,,,cbb685c8-df00-4cdf-8925-7239fa21a049,2013,12,2013-12
126,43.0,2013,Shasta,45,,,40.373000000000005,-122.7338,Fiddler Fire,,2013-07-09 11:59:00+00:00,,,3f64fc8a-8870-4e64-b60a-3e13c8532acd,2013,07,2013-07
127,42.0,2013,Riverside,33,,,33.969359999999995,-117.1265,Viper Fire,,2013-06-08 15:37:00+00:00,,,e9505435-e861-4f33-9069-b0040fb2a135,2013,06,2013-06
128,41.0,2013,San Mateo,41,,,37.667295,-122.42728500000001,Chestnut Fire,,2013-09-07 13:55:00+00:00,,,b30ee931-f349-4d21-a38a-d346c516b104,2013,09,2013-09
129,40.0,2013,Santa Clara,43,,,37.342186,-121.717706,Grant Fire,,2013-12-31 05:30:00+00:00,,,7a168690-06e5-4056-97c8-73b834204744,2013,12,2013-12
130,40.0,2013,Orange,30,,,33.7655,-117.6649,Baker Fire,,2013-10-06 10:52:00+00:00,,,9a110003-2f4c-4ac7-a3e5-b4e713f8d1fe,2013,10,2013-10
131,40.0,2013,San Diego,37,,,0.0,0.0,Valley Fire,,2013-09-26 17:29:00+00:00,,,487a3f42-fd84-4598-bc48-130ad241c883,2013,09,2013-09
132,40.0,2013,Riverside,33,,,33.570291,-116.10815,Pierce Fire,,2013-08-16 13:31:00+00:00,,,f23f8148-6ec4-4885-9729-0dad7c744485,2013,08,2013-08
133,40.0,2013,Siskiyou,47,,,0.0,0.0,Trout Fire,,2013-07-31 15:25:00+00:00,,,0e197989-042e-4c73-8820-f98e0b6fdd52,2013,07,2013-07
134,40.0,2013,Riverside,33,,,33.9634,-117.2508,Heacock Fire,,2013-07-19 16:21:00+00:00,,,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,2013,07,2013-07
135,40.0,2013,Riverside,33,,,34.001745,-117.302057,Palmyrita Fire,,2013-06-14 13:47:00+00:00,,,2d1f0c40-92e7-4540-991b-d353ed68ec6c,2013,06,2013-06
136,40.0,2013,Riverside,33,,,33.655638,-116.161201,54 Fire,65.0,2013-05-16 13:48:00+00:00,,,e215290f-d0b4-48fd-be32-f599959347b1,2013,05,2013-05
137,38.0,2013,El Dorado,9,,,38.89555,-120.84716,Empire Fire,,2013-08-24 14:54:00+00:00,,,fea7802f-ba70-450a-9ad1-96e2751293a9,2013,08,2013-08
138,38.0,2013,Lake,17,,,39.1591,-122.5906,Indian Fire,,2013-08-07 12:35:00+00:00,,,b5b63934-923d-4504-a9b1-75c885477a8d,2013,08,2013-08
139,38.0,2013,Alameda,1,,,37.74241,-121.86216,Fallon Fire,,2013-07-06 13:09:00+00:00,,,4c04a4e5-f580-4e62-bb53-2575c72d29dc,2013,07,2013-07
