AcresBurned,Counties,Name,UniqueId
2269,Yolo,Winters Fire,a7509e35-3083-4306-bcce-ebf6d101b62a
2241,Fresno,Goose Fire,bd2b7bdc-0f92-451a-a3a5-03569d27c952
2236,San Diego,DeLuz Fire,9fb847ce-44c7-4a11-a733-a6cc82838671
2225,Monterey,Turkey Fire,c7152819-8f07-489c-a219-b58bed82733e
2207,Lake,Sulphur Fire (Mendocino Lake Complex),0f32c2db-7d28-4cf6-85b8-44b53899c8eb
2162,Solano,Nelson Fire,2ce8de99-7e66-4de8-9426-48a4fc8500ac
2143,San Bernardino,Etiwanda Fire,13bfff2c-cb2f-4ed9-a7f8-6985646a2d5d
2100,Modoc,Eagle Fire,656c37d9-6876-47ba-bf8e-ec6c351c3595
2100,Fresno,Sacata Fire,59084c8f-904c-42cb-9aa8-cae4a1f8c6ef
2070,Inyo,Pleasant Fire,3d866877-330a-4a14-b5bd-48675955af64
2060,Tulare,Fish Fire,a4de6058-c68c-4924-bfb5-dc8ecc3b54c0
2056,San Diego,Gate Fire,c4d0a25f-02f6-4877-a944-8f5d50bf2335
1995,San Diego,Cocos Fire,1b1cba8f-7893-4eea-82d9-dc78663fd911
1984,Santa Barbara,White Fire,abc61995-8bea-4be1-aa49-ee378ab3baaa
1975,Inyo,Cow Fire,c3b236b9-3a1d-481d-b1eb-b0aa77c5b462
1952,Los Angeles,Colby Fire,1fe0ea01-23e8-47a1-8fbd-ced6cf655e4d
1926,Riverside,Tenaja,f68808fb-a705-4083-a136-1a45c61c7f74
1900,Shasta,Hat Fire,ce93c72c-eb9c-4176-a2b6-7750a4a6bb20
1872,Siskiyou,Lime Fire,5c74d3fc-eaeb-4a75-9a07-5f8af961237b
1868,Sonoma,Adobe Fire (Central LNU Complex),9a5c9879-2e18-41a4-88d6-2360203dae79
1850,San Diego,Horno Fire,8049295f-23fe-4c7e-9be1-cded644dc737
1816,Monterey,Parkfield Fire,a21faf4f-3628-4e24-ac64-8471d9d12560
1806,Ventura,Easy Fire,00e6d6d5-f168-45fa-817a-f7758a5170b7
1800,Merced,Wright Fire,63a81990-8521-409d-9c22-92d1c33e0353
1791,San Luis Obispo,Park Hill Fire,99cea36f-5797-409d-8be9-8140b2e63320
1785,Kern,Deer Fire,140def53-175c-4f5d-b8e3-de0643781ff7
1764,San Luis Obispo,McMillan Fire,88a285bc-0dc7-4c51-a35a-5026850b0a6d
1756,Merced,Nees Fire,92c441f3-4729-4ba5-890f-fb7693725275
1751,Trinity,Kerlin Fire,3506eaf5-e815-4a7f-9c52-816fe5eee7d5
1749,Stanislaus,Creek Fire,7f33fd28-9a93-438b-84ca-0e57e7c441f4
1708,Mariposa,Carstens Fire,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1
1680,Kern,Nicolls Fire ,45abd556-f41f-4507-91a5-1cf2f751bb4c
1678,Shasta,Creek Fire,b900fe52-8900-4578-9745-58036920a1ab
1660,Sonoma,37 Fire,fe6e94d7-7b47-4992-9a52-787e1fad8171
1651,Modoc,Modoc Lightning Complex,8f48a8a9-facf-49e8-92dc-ea1147e53792
1649,Fresno,Park Fire,f44aec62-5d1d-422f-9ff9-dbef80e4e27f
1626,Kern,Quail Fire,ea019efb-52d2-4f08-8d04-20b680e2361b
1598,San Luis Obispo,Hill Fire,81b37451-57b5-4050-a54d-e9750f84a567
1548,San Diego,Bernardo Fire,9e5ee790-ee7e-4b40-b300-7a3046901162
1547,Sonoma,Sawmill Fire,8d9b87e4-6fdb-49e4-ba6d-be85ffd6b222
1542,Trinity,Saddle Fire ,2aae391b-7b00-47d9-ba73-d71ad706bdad
1538,Fresno,Derrick Fire,e3e75be1-8dea-4022-975b-34a0f25b57c0
1522,Kern,Highway Fire,1b01181e-fbcb-4dc4-86ec-cfddc864cc34
1507,Mexico,Border 8 Fire,74b94fe9-3524-40ce-ac18-ee637bf66f15
1503,San Bernardino,Holcomb Fire,b5dd68e2-ec95-47cd-a126-d5f6f0f2b49a
1500,Solano,Nurse Fire,b8fe54be-15a8-4088-b0bb-16992df93a7e
1500,San Luis Obispo,Yankee Fire,d963ff00-9c98-4bc6-a3b3-4856d8192e87
1470,Riverside,Bogart Fire,944e953f-ed28-4b99-8d60-d352c702e6f9
1469,Modoc,Gulch Fire,00089805-cdee-4607-8b67-1653bee463bc
1457,San Diego,San Mateo Fire,b0b5efed-3edc-4a4b-97c8-95a79d12d0c6
1450,Merced,Creek Fire,26c17f1d-6524-44b2-b126-4d411ba823c8
1431,Madera,Oakwood Fire,d11a4f65-9523-40d8-989a-6603705e9638
1383,Riverside,Falls Fire,4867ac70-663e-48f4-b9ae-ca0a486234ca
1375,Shasta,Gulch Fire,b22e378f-bfbc-40b8-aaa7-29ec6db13db1
1352,Los Angeles,Stone Fire,5340807b-1be1-4894-b446-c81c46456641
1350,San Bernardino,Valley Fire,b90be7b6-e9ec-4a18-a910-957f700c6ed6
1350,Kern,Garden Fire,0f4499f5-846c-4791-994e-81df04fe691a
1350,Riverside,Opera Fire,c254df3f-a241-4983-a880-e12944a9f7b2
1350,Sutter,West Butte Fire,23cee99c-662f-4409-80d0-b9eb3a6287b3
1333,Merced,McCabe Fire,506eefb2-cae3-48dd-bd92-315ad1782184
1319,Kern,Caldwell Fire,340e471a-a37e-47dd-90da-6c9f35b7eb3b
1314,San Benito,Airline Fire,df2538f9-20c9-4d40-9a64-9d6334b6f7d6
1301,State of Oregon,Ward Fire,e3d66b1b-3b3b-40a3-96ec-574c1a27cbe9
1300,Mariposa,Gaines Fire,547b7d19-9b75-4c11-8b88-56adb6460a3c
1286,Sacramento,Latrobe Fire,8cf9e7dc-74b9-4b97-9a03-f523f3eff56f
1271,San Diego,General Fire,07a5397c-a665-4f84-9a82-5f689cb2c8f3
1265,Inyo,Moffat Fire,a339b368-ec58-463e-9a26-9af37c938f49
1261,Riverside,Patterson Fire,693a86e6-8985-4e70-8ba8-869786ff538b
1246,Merced,Dinosaur Fire,ec90eb29-e776-43da-a814-0c41463ae3c9
1245,San Diego,Roblar Fire,78eccd24-9fe2-4ccd-90fa-a1e0fdc19b41
1200,Kern,Tarina Fire ,4ac3161f-79e7-494f-88e4-72a69ef1d96b
1200,Sutter,Butte Fire,ea58640a-7837-4d93-a145-96e48b7df8ee
1165,State of Nevada,Jasper Fire,3086ac2b-bbb3-4321-81e3-3cfdb9e571e9
1127,San Luis Obispo,Boulder Fire,107dd529-31b8-4b5f-ab09-4aa79c770d4b
1120,Placer,North Fire,d8235a76-7b43-4e23-8f60-dc308c250fab
1109,Los Angeles,Sage Fire,79b446a4-d809-4aa2-9f30-091a05ed697d
1088,San Diego,Buffalo Fire,081c7307-b328-4b64-869a-dce8718bab11
1086,Monterey,Tassajara Fire,1f54817c-8832-4a47-8ede-ab8072f52677
1083,Kern,Hudson Fire,27759042-9df3-4d57-951e-f5727bcf013f
1080,Tuolumne,Marshes Fire,3a4871dc-2299-4934-8a31-b92780fe31a3
1080,Mariposa,Dark Hole Fire,c7f39aa9-394d-4d19-bcd9-a8ee4f036e01
1070,Tuolumne,Power Fire,1e8441c2-f426-40b4-9f4f-3de9f7e232b9
